full_tone_period_a	full_tone_period_b	full_tone_period_c	volumeA	volumeB	volumeC	mask_a	mask_b	mask_c	full_envelope_period	envelope_shape	noise_period
443	443	221	11	10	10	0|0|0	0|1|0	0|1|0	0	0	6
571	886	443	10	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	1760	880	7	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	6	0	0	0|0|0	0|0|0	0|0|0	0	0	0
187	212	106	4	7	7	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	3	0	0	1|0|0	0|1|0	0|1|0	0	0	0
0	200	100	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	2	0	0	0|0|0	0|0|0	0|0|0	0	0	0
256	188	94	8	0	0	0|0|0	0|1|0	0|1|0	0	0	6
571	0	0	7	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	176	88	5	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	4	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	164	82	11	10	10	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	152	76	7	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	6	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	140	70	8	7	7	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	7	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	128	64	5	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	4	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	116	58	8	0	0	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	7	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	104	52	5	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	4	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	92	46	11	10	10	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	80	40	7	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	6	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	68	34	8	7	7	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	7	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	56	28	5	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	4	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	44	22	8	0	0	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	7	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	32	16	5	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	4	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	20	10	11	10	10	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	5
